id,movie,studio,days.in.theatres,daily.gross,gross.to.date,theatres,date,url
johnwick,John Wick,LG/S,71,28226,42876535,127,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=johnwick.htm
citizenfour,Citizenfour,RTWC,71,20988,2221051,49,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=citizenfour.htm
homesman,The Homesman,Saban,50,18219,2236664,54,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=homesman.htm
judge,The Judge,WB,85,16601,47035352,61,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=judge.htm
islandoflemurs,Island of Lemurs: Madagascar (IMAX),WB,274,13326,8460566,40,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=islandoflemurs.htm
bestofme,The Best of Me,Rela.,78,9852,26723429,42,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=bestofme.htm
blackbird,Beyond the Lights,Rela.,50,7671,14552602,23,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=blackbird.htm
goodlie,The Good Lie,WB,92,4241,2711572,16,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=goodlie.htm
pyramid,The Pyramid,Fox,29,3178,2700539,17,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=pyramid.htm
mommy,Mommy,RAtt.,106,2612,3303669,5,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=mommy.htm
songofthesea,Song of the Sea,GK,15,2501,59733,2,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=songofthesea.htm
meetthemormons,Meet the Mormons,Purd.,85,2297,6024209,11,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=meetthemormons.htm
princesskaguya,The Tale of The Princess Kaguya,GK,78,2243,582703,11,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=princesskaguya.htm
dearwhitepeople,Dear White People,RAtt.,78,1543,4373370,8,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=dearwhitepeople.htm
hiroshimamonamour,Hiroshima Mon Amour (2014 re-release),Rialto,71,137,88070,1,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=hiroshimamonamour.htm
hobbit3,The Hobbit: The Battle of the Five Armies,WB (NL),18,8135890,215307016,"3,875",2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=hobbit3.htm
intothewoods,Into the Woods,BV,10,6979662,86557147,"2,538",2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=intothewoods.htm
unbroken,Unbroken,Uni.,10,6923515,83791595,"3,190",2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=unbroken.htm
nightatthemuseum3,Night at the Museum: Secret of the Tomb,Fox,16,5456224,86687190,"3,802",2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=nightatthemuseum3.htm
womaninblack2,The Woman in Black 2: Angel of Death,Rela.,2,4929668,12675753,"2,602",2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=womaninblack2.htm
annie2014,Annie (2014),Sony,16,4179615,69939985,"3,166",2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=annie2014.htm
imitationgame,The Imitation Game,Wein.,37,3033074,28688281,754,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=imitationgame.htm
hungergames3,The Hunger Games: Mockingjay - Part 1,LGF,44,2894119,322054292,"2,505",2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=hungergames3.htm
gambler,The Gambler,Par.,10,2357008,26201614,"2,494",2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=gambler.htm
wild2014,Wild (2014),FoxS,32,1768743,24780550,"1,361",2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=wild2014.htm
disney2014,Big Hero 6,BV,58,1752533,210069378,"1,913",2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=disney2014.htm
exodus,Exodus: Gods and Kings,Fox,23,1471342,60412678,"2,260",2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=exodus.htm
penguinsofmadagascar,Penguins of Madagascar,Fox,39,1055298,77411804,"1,585",2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=penguinsofmadagascar.htm
bigeyes,Big Eyes,Wein.,10,1008068,9279611,"1,408",2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=bigeyes.htm
interstellar,Interstellar,Par.,60,936359,182230397,"1,048",2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=interstellar.htm
topfive,Top Five,Par.,23,817865,23303277,"1,195",2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=topfive.htm
theoryofeverything,The Theory of Everything,Focus,58,428614,24503819,651,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=theoryofeverything.htm
interview2014,The Interview (2014),Sony,10,406808,4721896,581,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=interview2014.htm
horriblebosses2,Horrible Bosses 2,WB,39,357049,52869330,702,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=horriblebosses2.htm
birdman,Birdman,FoxS,79,335853,25219333,282,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=birdman.htm
pk,P.K.,UTV,16,286488,9708284,221,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=pk.htm
selma,Selma,Par.,10,247287,1909228,22,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=selma.htm
americansniper,American Sniper,WB,10,238862,2024960,4,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=americansniper.htm
gonegirl,Gone Girl,Fox,93,155189,166640523,279,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=gonegirl.htm
dumberto,Dumb and Dumber To,Uni.,51,125780,85328035,331,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=dumberto.htm
stvincent,St. Vincent,Wein.,86,96609,43427543,402,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=stvincent.htm
inherentvice,Inherent Vice,WB,23,93623,1391234,16,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=inherentvice.htm
fury2014,Fury (2014),Sony,79,74254,85462651,232,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=fury2014.htm
bookoflife14,The Book of Life (2014),Fox,79,68926,49517603,134,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=bookoflife14.htm
nightcrawlers,Nightcrawler,ORF,65,46598,31954761,105,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=nightcrawlers.htm
equalizer,The Equalizer,Sony,100,46407,101408627,148,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=equalizer.htm
mazerunner,The Maze Runner,Fox,107,39341,102220036,118,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=mazerunner.htm
laika2014,The Boxtrolls,Focus,100,33240,50598698,132,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=laika2014.htm
johnwick,John Wick,LG/S,72,29585,42906120,127,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=johnwick.htm
citizenfour,Citizenfour,RTWC,72,23314,2244365,49,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=citizenfour.htm
homesman,The Homesman,Saban,51,22788,2259452,54,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=homesman.htm
judge,The Judge,WB,86,19024,47054376,61,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=judge.htm
